year,name,country,div_rank,gender_rank,overall_rank,swim,bike,run,finish
20141011,"Kienle, Sebastian",DEU,1,1,1,0:54:38,4:20:46,2:54:36,8:14:18
20141011,"Hoffman, Ben",USA,2,2,2,0:51:20,4:32:20,2:51:25,8:19:23
20141011,"Frodeno, Jan",DEU,3,3,3,0:50:56,4:37:19,2:47:46,8:20:32
20141011,"Potts, Andy",USA,4,4,4,0:50:56,4:36:56,2:48:18,8:21:38
20141011,"Viennot, Cyril",FRA,5,5,5,0:54:32,4:31:18,2:51:55,8:22:19
20141011,"Frommhold, Nils",DEU,6,6,6,0:51:14,4:34:11,2:52:45,8:22:29
20141011,"Van Berkel, Timothy",AUS,7,7,7,0:51:21,4:36:45,2:50:53,8:23:26
20141011,"Van Lierde, Frederik",BEL,8,8,8,0:51:03,4:32:17,2:56:21,8:24:11
20141011,"Aernouts, Bart",BEL,9,9,9,0:55:43,4:37:47,2:50:12,8:28:28
20141011,"Guillaume, Romain",FRA,10,10,10,0:51:08,4:34:23,2:59:58,8:30:15
20141011,"Twelsiek, Maik",DEU,11,11,11,0:54:38,4:24:03,3:07:20,8:31:06
20141011,"Schildknecht, Ronnie",CHE,12,12,12,0:55:39,4:38:09,2:54:54,8:33:35
20141011,"Alexander, Craig",AUS,13,13,13,0:51:50,4:41:39,2:58:58,8:36:25
20141011,"Matthews, Paul",AUS,14,14,14,0:51:08,4:38:43,3:03:09,8:37:17
20141011,"Mckenzie, Luke",AUS,15,15,15,0:54:36,4:36:44,3:02:12,8:38:12
20141011,"Weiss, Michael",AUT,16,16,16,1:00:52,4:33:55,2:58:35,8:38:27
20141011,"Rana, Ivan",ESP,17,17,17,0:51:56,4:58:10,2:44:38,8:38:59
20141011,"Jurkiewicz, Jeremy",FRA,18,18,18,0:51:49,4:50:27,2:53:06,8:39:46
20141011,"Albert, Marko",EST,19,19,19,0:51:01,4:39:18,3:05:18,8:40:02
20141011,"Stein, Boris",DEU,20,20,20,1:01:52,4:36:43,2:57:54,8:40:42
20141011,"Reed, Tim",AUS,21,21,21,0:51:25,4:38:21,3:10:07,8:44:45
20141011,"Jaskolka, Marek",POL,22,22,22,0:54:36,4:53:02,2:56:12,8:48:27
20141011,"Russell, Matthew",USA,23,23,23,1:00:52,4:39:17,3:04:06,8:49:03
20141011,"Stubleski, Daniel",USA,1,24,24,1:03:11,4:43:43,2:58:19,8:50:22
20141011,"Buckingham, Kyle",ZAF,24,25,25,0:54:33,4:44:38,3:06:01,8:50:28
20141011,"Maxwell, Levi",AUS,1,26,26,1:01:40,4:52:00,2:54:17,8:52:14
20141011,"Amorelli, Igor",BRA,25,27,27,0:51:00,4:41:26,3:15:47,8:52:37
20141011,"Daerr, Justin",USA,26,28,28,0:57:32,4:50:25,3:01:58,8:54:01
20141011,"Gambles, Joe",AUS,27,29,29,0:52:04,4:51:55,3:05:45,8:55:15
20141011,"Brader, Christian",DEU,28,30,30,1:02:28,4:59:30,2:50:38,8:57:56
20141011,"Gilfillan, James",GBR,2,31,31,0:56:23,4:46:59,3:09:58,8:59:47
20141011,"Wiltshire, Harry",GBR,29,32,32,0:51:19,4:58:57,3:05:36,9:00:00
20141011,"Carfrae, Mirinda",AUS,1,1,33,1:00:14,5:05:48,2:50:26,9:00:55
20141011,"Ryf, Daniela",CHE,2,2,34,0:56:55,4:54:33,3:07:00,9:02:57
20141011,"Ambrose, Paul",AUS,30,33,35,0:52:15,4:50:29,3:15:43,9:02:58
20141011,"Kramer, Lukas",DEU,1,34,36,1:01:49,4:52:32,3:04:56,9:03:37
20141011,"Joyce, Rachel",GBR,3,3,37,0:56:47,4:56:49,3:06:27,9:04:23
20141011,"Flander, Marton",HUN,2,35,38,0:53:40,5:02:24,3:04:42,9:06:12
20141011,"Gigou, Pierre-Yves",CAN,3,36,39,1:01:40,4:44:41,3:14:50,9:06:21
20141011,"Ferreira Da Silva Neto, Antonio",BRA,3,37,40,0:56:43,4:59:12,3:06:04,9:06:53
20141011,"Gronbek, Jens",DNK,2,38,41,1:00:34,4:57:26,3:04:07,9:06:56
20141011,"Burke, James",USA,4,39,42,0:53:33,5:00:20,3:07:45,9:07:15
20141011,"Caird, Allister",AUS,4,40,43,1:02:20,4:58:36,3:01:19,9:08:26
20141011,"Droell, Martin",DEU,3,41,44,0:59:39,4:55:11,3:09:41,9:08:35
20141011,"Gyde, Sam",BEL,5,42,45,1:08:38,4:50:02,3:04:16,9:08:42
20141011,"Souter, Nick",AUS,6,43,46,1:02:42,4:56:15,3:05:13,9:08:55
20141011,"Christensen, Gregers",DNK,5,44,47,1:04:04,5:01:38,2:57:43,9:09:48
20141011,"Viola, Ritch",USA,1,45,48,0:53:48,4:58:45,3:12:49,9:09:51
20141011,"Swallow, Jodie",GBR,4,4,49,0:54:28,5:02:46,3:08:45,9:10:19
20141011,"Ospaly, Filip",CZE,31,46,50,0:51:06,4:59:00,3:16:08,9:10:57
20141011,"Salas, Eduardo",MEX,2,47,51,1:00:56,4:58:50,3:04:50,9:11:16
20141011,"Stalder, Sebastien",FRA,7,48,52,1:02:14,4:54:46,3:08:49,9:11:23
20141011,"Paredes, Diego",ESP,8,49,53,1:01:50,4:59:26,3:03:25,9:11:31
20141011,"Coppock, Xavier",AUS,9,50,54,1:06:51,4:43:26,3:15:25,9:11:37
20141011,"Bell, Ben",AUS,10,51,55,1:00:24,5:07:40,2:59:46,9:12:06
20141011,"Burt, Nick",AUS,3,52,56,1:00:33,5:01:06,3:04:59,9:12:15
